5:6 ,5   ,BOX,6 5/8 REG    ,6 5/8 REG    ,9 5/8  ,244,8.15
5:6 ,5   ,BOX,7 5/8 REG    ,7 5/8 REG    ,9 5/8  ,244,8.15
5:6 ,6   ,BOX,6 5/8 REG    ,6 5/8 REG    ,9 5/8  ,244,8.99
5:6 ,6   ,BOX,7 5/8 REG    ,7 5/8 REG    ,9 5/8  ,244,8.99
3:4 ,4   ,BOX,7 5/8 REG    ,7 5/8 REG    ,11 1/4 ,286,9.79
1:2 ,4   ,BOX,6 5/8 REG    ,6 5/8 REG    ,8 1/4  ,210,7.88
1:2 ,4   ,BOX,5 1/2 IF     ,6 5/8 REG    ,8 1/4  ,210,7.88
4:5 ,3.6 ,BOX,6 5/8 REG    ,6 5/8 REG    ,8 1/4  ,210,7.19
4:5 ,3.6 ,BOX,5 1/2 IF     ,6 5/8 REG    ,8 1/4  ,210,7.19
4:5 ,5.3 ,BOX,6 5/8 REG    ,6 5/8 REG    ,8 1/4  ,210,8.92
4:5 ,5.3 ,BOX,5 1/2 IF     ,6 5/8 REG    ,8 1/4  ,210,8.92
4:5 ,8.2 ,BOX,6 5/8 REG    ,6 5/8 REG    ,8 1/4  ,210,9.38
4:5 ,8.2 ,BOX,5 1/2 IF     ,6 5/8 REG    ,8 1/4  ,210,9.38
7:8 ,3   ,BOX,6 5/8 REG    ,6 5/8 REG    ,8 1/4  ,210,7.19
7:8 ,3   ,BOX,5 1/2 IF     ,6 5/8 REG    ,8 1/4  ,210,7.19
7:8 ,4   ,BOX,6 5/8 REG    ,6 5/8 REG    ,8 1/4  ,210,8.41
7:8 ,4   ,BOX,5 1/2 IF     ,6 5/8 REG    ,8 1/4  ,210,8.41
1:2 ,5   ,BOX,8 5/8 REG    ,8 5/8 REG    ,9 5/8  ,244,8.9
1:2 ,5   ,BOX,6 5/8 REG    ,6 5/8 REG    ,9 5/8  ,244,8.9
1:2 ,5   ,BOX,7 5/8 REG    ,7 5/8 REG    ,9 5/8  ,244,8.9
2:3 ,9.2 ,BOX,8 5/8 REG    ,8 5/8 REG    ,9 5/8  ,244,8.01
2:3 ,9.2 ,BOX,6 5/8 REG    ,6 5/8 REG    ,9 5/8  ,244,8.01
2:3 ,9.2 ,BOX,7 5/8 REG    ,7 5/8 REG    ,9 5/8  ,244,8.01
3:4 ,8   ,BOX,6 5/8 REG    ,6 5/8 REG    ,9 5/8  ,244,9.7
3:4 ,8   ,BOX,7 5/8 REG    ,7 5/8 REG    ,9 5/8  ,244,9.7
3:4 ,8   ,BOX,8 5/8 REG    ,8 5/8 REG    ,9 5/8  ,244,9.7
5:6 ,3   ,BOX,6 5/8 REG    ,6 5/8 REG    ,9 5/8  ,244,8.01
5:6 ,3   ,BOX,7 5/8 REG    ,7 5/8 REG    ,9 5/8  ,244,8.01
5:6 ,3   ,BOX,8 5/8 REG    ,8 5/8 REG    ,9 5/8  ,244,8.01
5:6 ,4   ,BOX,6 5/8 REG    ,6 5/8 REG    ,9 5/8  ,244,9.29
5:6 ,4   ,BOX,7 5/8 REG    ,7 5/8 REG    ,9 5/8  ,244,9.29
5:6 ,4   ,BOX,8 5/8 REG    ,8 5/8 REG    ,9 5/8  ,244,9.29
7:8 ,4.8 ,BOX,6 5/8 REG    ,6 5/8 REG    ,9 5/8  ,244,9.76
7:8 ,4.8 ,BOX,7 5/8 REG    ,7 5/8 REG    ,9 5/8  ,244,9.76
7:8 ,4.8 ,BOX,8 5/8 REG    ,8 5/8 REG    ,9 5/8  ,244,9.76
3:4 ,3.6 ,BOX,8 5/8 REG    ,8 5/8 REG    ,11 1/4 ,286,8.85
3:4 ,3.6 ,BOX,7 5/8 REG    ,7 5/8 REG    ,11 1/4 ,286,8.85
7:8 ,4.8 ,BOX,7 5/8 REG    ,7 5/8 REG    ,11 1/4 ,286,9.76
7:8 ,4.8 ,BOX,8 5/8 REG    ,8 5/8 REG    ,11 1/4 ,286,9.76
